identifier,en,de,fr,es,cn,note
WE_TEXWHITE_INTRO,Map icons and textures are tinted at draw time with a multiplicative color blend. This only looks correct when the image's RGB is neutral gray - a colored image will tint unpredictably instead of cleanly turning red / orange / gray.,"Kartensymbole und Texturen werden beim Zeichnen mit einer multiplikativen Farbmischung eingefärbt. Das sieht nur korrekt aus, wenn das RGB des Bildes neutral grau ist - ein farbiges Bild färbt sich unvorhersehbar ein, statt sauber rot, orange oder grau zu werden.",Les icônes de carte et les textures sont teintées au moment du dessin par un mélange de couleurs multiplicatif. Cela ne rend correctement que lorsque le RVB de l'image est gris neutre - une image colorée se teintera de façon imprévisible au lieu de devenir proprement rouge / orange / gris.,Los iconos del mapa y las texturas se tiñen al dibujarse mediante una mezcla de color multiplicativa. Esto solo se ve correcto cuando el RGB de la imagen es gris neutro; una imagen en color se teñirá de forma impredecible en lugar de volverse limpiamente roja / naranja / gris.,"地图图标和纹理渲染使用乘法混色；仅当图像RGB为中性灰时着色效果才正常。
彩色原图会产生不可预期的偏色，无法干净渲染为红/橙/灰色。",
WE_TEXWHITE_INSTRUCTIONS,Pick an icon or texture from the textures/ folder and press Convert. The image will be desaturated to luminance and normalized so the brightest pixel becomes white. The result is saved as <name>_white.png next to the original.,"Wähle ein Symbol oder eine Textur aus dem textures/-Ordner und drücke Konvertieren. Das Bild wird auf Helligkeit entsättigt und so normalisiert, dass der hellste Pixel weiß wird. Das Ergebnis wird als <Name>_white.png neben dem Original gespeichert.",Choisissez une icône ou une texture dans le dossier textures/ et appuyez sur Convertir. L'image sera désaturée en luminance et normalisée pour que le pixel le plus clair devienne blanc. Le résultat est enregistré sous <nom>_white.png à côté de l'original.,Elige un icono o una textura de la carpeta textures/ y pulsa Convertir. La imagen se desaturará a luminancia y se normalizará para que el píxel más brillante se vuelva blanco. El resultado se guarda como <nombre>_white.png junto al original.,"从textures文件夹选择图标或纹理并点击转换。图片将被去色仅保留亮度信息，
做归一化处理使最亮像素变为纯白；输出文件另存为<文件名>_white.png保存在原图旁。",
WE_TEXWHITE_TEXTURE_LABEL,Texture,Textur,Texture,Textura,纹理,
WE_TEXWHITE_REFRESH,Refresh,Aktualisieren,Actualiser,Actualizar,刷新,
WE_TEXWHITE_CONVERT,Convert & Save,Konvertieren & Speichern,Convertir et enregistrer,Convertir y guardar,转换并保存,
WE_TEXWHITE_CLOSE,Close,Schließen,Fermer,Cerrar,关闭,
WE_TEXWHITE_SAVED_AS,Saved as: ,Gespeichert als: ,Enregistré sous : ,Guardado como: ,已保存为：,
#,"options_window.cpp / options_*.cpp - unified settings window: title bar, Nexus options button, rail tooltips, section placeholder.",,,,,
WE_OPTWIN_TITLE,World Events - Settings,World Events - Einstellungen,World Events - Paramètres,World Events - Ajustes,世界事件 - 设置,
WE_OPTWIN_OPEN_BUTTON,Open World Events Settings,World-Events-Einstellungen öffnen,Ouvrir les paramètres de World Events,Abrir ajustes de World Events,打开世界事件设置,
WE_OPTWIN_TAB_GENERAL,General,Allgemein,Général,General,常规,
WE_OPTWIN_TAB_EVENTS,Events,Events,Événements,Eventos,事件,
WE_OPTWIN_TAB_LIVE,"Live Events (Experimental, EU/NA only)","Live-Events (Experimentell, nur EU/NA)","Événements en direct (expérimental, EU/NA uniquement)","Eventos en vivo (experimental, solo EU/NA)",实时事件（实验功能，仅欧服/美服，国服无法使用）,
WE_OPTWIN_TAB_HELP,Help,Hilfe,Aide,Ayuda,帮助,
#,options_general.cpp - General tab: section headers and their controls.,,,,,
WE_OPTWIN_HDR_COMPETITIVE,Competitive mode,Wettkampfmodus,Mode compétitif,Modo competitivo,竞技模式,
WE_OPT_DISABLE_COMPETITIVE,Disable overlay in PvP/WvW,Overlay in PvP/WvW deaktivieren,Désactiver la superposition en PvP/McM,Desactivar la superposición en PvP/McM,PvP/世界之战(WvW)下关闭叠加界面,
WE_TIP_DISABLE_COMPETITIVE,"Hides map events, cyclic rings, and all subscriptions
views (window/bar/toast) while you're on a PvP or WvW
map. Doesn't change what's subscribed, only what shows.","Blendet Karten-Events, Zyklische-Ringe und alle Abo-Ansichten
(Fenster/Leiste/Toast) auf PvP- oder WvW-Karten aus.
Ändert nichts an den Abos, nur was angezeigt wird.","Masque les événements sur la carte, les anneaux cycliques et toutes les vues
d'abonnements (fenêtre/barre/notification) lorsque vous êtes sur une carte
PvP ou McM. Ne change pas ce qui est abonné, seulement ce qui s'affiche.","Oculta los eventos del mapa, los anillos cíclicos y todas las vistas de
suscripciones (ventana/barra/notificación) mientras estás en un mapa de
PvP o McM. No cambia lo que está suscrito, solo lo que se muestra.","在PvP或世界之战(WvW)地图时隐藏地图事件、
循环圆环与全部订阅界面（窗口/订阅栏/弹窗）。
不会修改订阅设置，仅控制显示状态。",
WE_OPT_WINDOW,Window,Fenster,Fenêtre,Ventana,窗口,
WE_OPT_BAR,Bar,Leiste,Barre,Barra,订阅栏,
WE_OPT_TOAST,Toast,Benachrichtigung,Notification,Notificación,通知弹窗,
WE_OPTWIN_HDR_SUBS_WINDOW,Subscriptions window,Abo-Fenster,Fenêtre d'abonnements,Ventana de suscripciones,订阅窗口,
WE_OPT_SHOW_SUBS_WINDOW,Show subscriptions window,Abo-Fenster anzeigen,Afficher la fenêtre d'abonnements,Mostrar ventana de suscripciones,显示订阅窗口,
WE_OPT_HIDE_ACTIVE_IN_WINDOW,Hide active in window,Aktive Events im Fenster ausblenden,Masquer les actifs dans la fenêtre,Ocultar activos en la ventana,在窗口隐藏进行中事件,
WE_OPTWIN_HDR_SUBS_BAR,Subscriptions bar,Abo-Leiste,Barre d'abonnements,Barra de suscripciones,订阅栏,
WE_OPT_SHOW_SUBS_BAR,Show subscriptions bar,Abo-Leiste anzeigen,Afficher la barre d'abonnements,Mostrar barra de suscripciones,显示订阅栏,
WE_OPT_HIDE_ACTIVE_ON_BAR,Hide active on bar,Aktive auf Leiste ausblenden,Masquer les actifs sur la barre,Ocultar activos en la barra,订阅栏隐藏进行中事件,
WE_TIP_HIDE_ACTIVE_ON_BAR,"Active segments are dropped from the bar entirely, only upcoming events
remain. Independent from ""Hide active in window"" above.","Aktive Segmente werden vollständig von der Leiste entfernt, nur bevorstehende
Events bleiben. Unabhängig von ""Aktive im Fenster ausblenden""
oben.","Les segments actifs sont entièrement retirés de la barre, seuls les événements
à venir restent. Indépendant de ""Masquer les actifs dans la fenêtre"" ci-dessus.","Los segmentos activos se eliminan por completo de la barra, solo quedan los
eventos próximos. Independiente de ""Ocultar activos en la ventana"" de arriba.","正在进行的事件会完全从订阅栏移除，仅保留即将到来的事件，
独立于上方“在窗口隐藏进行中事件”选项。",
WE_OPT_MINIMAL_MODE,Minimal Mode,Minimalmodus,Mode minimal,Modo mínimo,极简模式,
WE_OPT_BOTTOM_LINE,Bottom Line,Untere Linie,Ligne inférieure,Línea inferior,底部基线,
WE_OPT_DOT_COLOR,Dot Color,Punktfarbe,Couleur du point,Color del punto,圆点颜色,
WE_OPT_POPOUT_HEIGHT,Pop-out height (px),Ausklapphöhe (px),Hauteur déployée (px),Altura desplegada (px),悬浮弹出高度（像素）,
WE_TIP_POPOUT_HEIGHT,"How tall the pop-out is, in px.","Wie hoch das hervorstehende Segment ist, in px.","Hauteur du segment déployé, en px.","Altura del elemento desplegado, en px.",弹出悬浮区域高度（像素）,
WE_OPT_POPOUT_DELAY,Pop-out delay (ms),Ausklappverzögerung (ms),Délai de déploiement (ms),Retraso de despliegue (ms),悬浮弹出延迟（毫秒）,
WE_TIP_POPOUT_DELAY,"How long the mouse has to sit still over a segment or dot
before it pops out. 0 = instant.","Wie lange die Maus über einem Segment oder Punkt verweilen
muss, bevor dieses ausklappt. 0 = sofort.","Combien de temps la souris doit rester immobile sur un segment ou un point
avant qu'il ne se déploie. 0 = instantané.","Cuánto tiempo debe permanecer el ratón inmóvil sobre un segmento o punto
antes de que se despliegue. 0 = instantáneo.",鼠标悬停在片段/圆点多久后弹出悬浮面板，0代表立即弹出。,
WE_OPT_UNSAFE_ZONE,Unsafe zone,Unsichere Zone,Zone à risque,Zona de riesgo,不安全区域,
WE_OPT_LEFT,Left,Links,Gauche,Izquierda,左侧,
WE_TIP_UNSAFE_LEFT,"Width from the LEFT screen edge, in px, treated as
covered by your own GW2 UI. Segments in this zone
drop lower to avoid covering it.","Breite ab dem LINKEN Bildschirmrand, in px, die als von
deinem eigenen GW2-UI belegt gilt. Segmente in
dieser Zone weichen nach unten aus.","Largeur depuis le bord GAUCHE de l'écran, en px, considérée comme
couverte par votre propre interface GW2. Les segments dans cette
zone descendent plus bas pour éviter de la recouvrir.","Ancho desde el borde IZQUIERDO de la pantalla, en px, considerado
cubierto por tu propia interfaz de GW2. Los segmentos en esta
zona bajan para evitar cubrirla.",屏幕左侧不安全区域宽度（像素），视作被游戏原生UI占用。落入该区域的界面元素会向下偏移避免遮挡。,
WE_OPT_RIGHT,Right,Rechts,Droite,Derecha,右侧,
WE_TIP_UNSAFE_RIGHT,"Width from the RIGHT screen edge, in px, treated as
covered by your own GW2 UI. Segments in this zone
drop lower to avoid covering it.","Breite ab dem RECHTEN Bildschirmrand, in px, die als von
deinem eigenen GW2-UI belegt gilt. Segmente in
dieser Zone weichen nach unten aus.","Largeur depuis le bord DROIT de l'écran, en px, considérée comme
couverte par votre propre interface GW2. Les segments dans cette
zone descendent plus bas pour éviter de la recouvrir.","Ancho desde el borde DERECHO de la pantalla, en px, considerado
cubierto por tu propia interfaz de GW2. Los segmentos en esta
zona bajan para evitar cubrirla.",屏幕右侧不安全区域宽度（像素），视作被游戏原生UI占用。落入该区域的界面元素会向下偏移避免遮挡。,
WE_OPT_HEIGHT_LEFT,Height (left),Höhe (links),Hauteur (gauche),Altura (izquierda),高度（左）,
WE_TIP_UNSAFE_HEIGHT_LEFT,"How tall your LEFT-side corner UI is, in px. Segments inside that zone start their drop this far down, not from the line itself, so the popped-out block clears your UI.","Wie hoch dein UI auf der LINKEN Seite ist, in px. Segmente in dieser Zone beginnen ab dieser Höhe auszuklappen, nicht ab der Linie selbst, damit der ausgeklappte Block dein UI nicht überdeckt.","Hauteur de votre interface du côté GAUCHE, en px. Les segments dans cette zone commencent leur descente à partir de cette hauteur, et non depuis la ligne elle-même, afin que le bloc déployé dégage votre interface.","Altura de tu interfaz en el lado IZQUIERDO, en px. Los segmentos en esa zona comienzan a descender desde esta altura, no desde la línea misma, para que el bloque desplegado no cubra tu interfaz.",左侧边角UI的高度（像素）。处于该不安全区的元素从该高度开始向下偏移，而非从订阅栏基线，保证悬浮面板不会遮挡游戏界面。,
WE_OPT_HEIGHT_RIGHT,Height (right),Höhe (rechts),Hauteur (droite),Altura (derecha),高度（右）,
WE_TIP_UNSAFE_HEIGHT_RIGHT,"How tall your RIGHT-side corner UI is, in px. Segments inside that zone start their drop this far down, not from the line itself, so the popped-out block clears your UI.","Wie hoch dein UI auf der RECHTEN Seite ist, in px. Segmente in dieser Zone beginnen ab dieser Höhe auszuklappen, nicht ab der Linie selbst, damit der ausgeklappte Block dein UI nicht überdeckt.","Hauteur de votre interface du côté DROIT, en px. Les segments dans cette zone commencent leur descente à partir de cette hauteur, et non depuis la ligne elle-même, afin que le bloc déployé dégage votre interface.","Altura de tu interfaz en el lado DERECHO, en px. Los segmentos en esa zona comienzan a descender desde esta altura, no desde la línea misma, para que el bloque desplegado no cubra tu interfaz.",右侧边角UI的高度（像素）。处于该不安全区的元素从该高度开始向下偏移，而非从订阅栏基线，保证悬浮面板不会遮挡游戏界面。,
WE_OPTWIN_HDR_TOAST,Toast popups,Benachrichtigungs-Popups,Notifications popup,Notificaciones emergentes,通知弹窗,
WE_OPT_ENABLE_NOTIFY_POPUPS,Enable notification popups,Benachrichtigungs-Popups aktivieren,Activer les notifications popup,Activar notificaciones emergentes,启用通知弹窗,
WE_TIP_NOTIFY_POPUPS,"Pops up a small toast in the lower-right corner for events
you have notifications enabled for, whether or not the
window or distribution line are open. Click a popup to paste
its waypoint code, same as clicking a row/segment there.","Zeigt unten rechts eine kleine Benachrichtigung für Events,
für welche Benachrichtigungen aktiviert sind - unabhängig davon,
ob Fenster oder Leiste geöffnet sind. Klicke auf ein Popup oder eine
Zeile um den Wegpunkt im Chat einzufügen.","Affiche une petite notification dans le coin inférieur droit pour les
événements dont les notifications sont activées, que la fenêtre ou la barre
soient ouvertes ou non. Cliquez sur une notification pour coller
son code de point de passage, comme en cliquant sur une ligne/segment là-bas.","Muestra una pequeña notificación en la esquina inferior derecha para los
eventos con notificaciones activadas, estén abiertas o no la ventana
o la barra. Haz clic en una notificación para pegar
su código de punto de acceso, igual que al hacer clic en una fila/segmento allí.","为已开启通知的事件在右下角弹出小型通知，无需打开窗口或订阅栏。
点击弹窗即可粘贴传送点代码，效果等同于点击对应条目。",
WE_OPT_WARN_BEFORE_START,Warn before start (min),Warnung vor Start (Min.),Avertir avant le début (min),Avisar antes del inicio (min),开始前提醒（分钟）,
WE_TIP_WARN_BEFORE_START,"How long before a subscribed event/slot starts to
fire the ""starting soon"" popup. 0 disables it.","Wie lange vor Start eines abonnierten Events/Slots die
""Startet bald""-Meldung erscheint. 0 deaktiviert sie.","Combien de temps avant le début d'un événement/créneau abonné la
notification ""démarre bientôt"" apparaît. 0 la désactive.","Cuánto tiempo antes de que empiece un evento/ranura suscrito aparece
la notificación ""empieza pronto"". 0 la desactiva.",订阅事件/时段开始前多久弹出“即将开始”通知。填0则关闭该通知。,
WE_OPT_NOTIFY_ON_START,Notify on start,Start Benachrichtigung,Notifier au démarrage,Notificar al empezar,事件开始时通知,
WE_OPT_POPUP_DURATION,Popup duration (sec),Popup-Dauer (Sek.),Durée de la notification (s),Duración de la notificación (s),弹窗持续时长（秒）,
WE_TIP_POPUP_DURATION,"How long a popup stays fully visible before it fades out.
Hovering a popup pauses its timer.","Wie lange eine Benachrichtigung voll sichtbar bleibt, bevor es ausblendet.
Der Mauszeiger über einer Benachrichtigung pausiert dessen Timer.","Combien de temps une notification reste pleinement visible avant de s'estomper.
Survoler une notification met son minuteur en pause.","Cuánto tiempo permanece una notificación totalmente visible antes de desvanecerse.
Pasar el cursor sobre una notificación pausa su temporizador.",弹窗保持完全可见的时长，之后开始淡出。鼠标悬停弹窗会暂停倒计时。,
WE_OPT_TOAST_WIDTH,Toast width (px),Popup-Breite (px),Largeur de la notification (px),Ancho de la notificación (px),弹窗宽度（像素）,
WE_TIP_TOAST_WIDTH,"Width of each toast popup, in pixels. Height is fixed to fit the name/message text.",Breite jedes Popups in Pixeln. Die Höhe ist fest und richtet sich nach dem Name-/Nachrichtentext.,"Largeur de chaque notification popup, en pixels. La hauteur est fixe et s'adapte au texte du nom/message.","Ancho de cada notificación emergente, en píxeles. La altura es fija y se ajusta al texto de nombre/mensaje.",每个通知弹窗的宽度（像素）。高度固定，由名称/消息文本决定。,
WE_OPT_TOAST_POS,Toast position (px),Popup-Position (px),Position de la notification (px),Posición de la notificación (px),弹窗位置（像素）,
WE_TIP_TOAST_POS,"Screen position of the newest toast's top-left corner, in pixels. Stays put across resolution/window-size changes.","Bildschirmposition der oberen linken Ecke des neuesten Popups, in Pixeln. Bleibt bei Auflösungs- oder Fenstergrößenänderungen an derselben Stelle.","Position à l'écran du coin supérieur gauche de la notification la plus récente, en pixels. Reste en place lors d'un changement de résolution ou de taille de fenêtre.","Posición en pantalla de la esquina superior izquierda de la notificación más reciente, en píxeles. Se mantiene fija ante cambios de resolución o tamaño de ventana.",最新弹窗左上角在屏幕上的位置（像素）。分辨率或窗口大小变化时位置保持不变。,
WE_OPT_TOAST_STACK_UP,Stack upward,Nach oben stapeln,Empiler vers le haut,Apilar hacia arriba,向上堆叠,
WE_TIP_TOAST_STACK_UP,Direction older toasts stack away from the position above: upward (toward the top of the screen) or downward (toward the bottom).,"Richtung, in die ältere Popups von der obigen Position weg gestapelt werden: nach oben (Richtung Bildschirmoberkante) oder nach unten (Richtung Bildschirmunterkante).",Direction dans laquelle les notifications plus anciennes s'empilent à partir de la position ci-dessus : vers le haut (haut de l'écran) ou vers le bas (bas de l'écran).,Dirección en la que se apilan las notificaciones más antiguas a partir de la posición anterior: hacia arriba (parte superior de la pantalla) o hacia abajo (parte inferior).,较旧弹窗相对于上方位置的堆叠方向：向上（朝屏幕顶部）或向下（朝屏幕底部）。,
WE_OPT_SOUND_NONE,(none),(keiner),(aucun),(ninguno),（无）,
WE_OPT_SOUND,Sound,Ton,Son,Sonido,音效,
WE_OPT_RESCAN,Rescan,Neu einlesen,Rescanner,Volver a analizar,重新扫描,
WE_TIP_RESCAN_SOUNDS,"Re-scans ""<addon dir>/sounds"" for .wav files you've
dropped in since the dropdown was last built.","Durchsucht ""<Addon-Ordner>/sounds"" erneut nach .wav-Dateien,
die seit dem letzten Aufbau der Liste hinzugekommen sind.","Analyse à nouveau ""<dossier addon>/sounds"" à la recherche de fichiers .wav que
vous avez ajoutés depuis la dernière construction de la liste déroulante.","Vuelve a analizar ""<carpeta del addon>/sounds"" en busca de archivos .wav
que hayas añadido desde que se generó la lista desplegable por última vez.",重新扫描插件目录下sounds文件夹，读取下拉列表更新后新增的wav音频文件。,
WE_OPT_TEST,Test,Testen,Tester,Probar,测试,
WE_TIP_TEST_SOUND,"Drop .wav files into ""<addon dir>/sounds"" and pick one
here to preview it. Only .wav is supported. ""Test"" just
plays it immediately - it also plays automatically alongside
a real notification popup, but only for events/slots whose
own notify level has sound enabled (see the speaker icon on
each row below).","Lege .wav-Dateien in ""<Addon-Ordner>/sounds"" ab und wähle
eine zum Vorhören aus. Nur .wav wird unterstützt. ""Testen""
spielt ihn sofort ab - er spielt auch automatisch bei einer
echten Benachrichtigung, aber nur für Events/Slots, deren eigene
Benachrichtigungsstufe Ton aktiviert hat (siehe Lautsprecher-
Symbol bei jeder Zeile unten).","Déposez des fichiers .wav dans ""<dossier addon>/sounds"" et choisissez-en un
ici pour l'écouter. Seul .wav est pris en charge. ""Tester"" le joue
simplement immédiatement - il joue aussi automatiquement en même temps
qu'une vraie notification, mais uniquement pour les événements/créneaux dont
le propre niveau de notification a le son activé (voir l'icône de haut-parleur
sur chaque ligne ci-dessous).","Coloca archivos .wav en ""<carpeta del addon>/sounds"" y elige uno
aquí para previsualizarlo. Solo se admite .wav. ""Probar"" simplemente
lo reproduce de inmediato; también se reproduce automáticamente junto
a una notificación real, pero solo para eventos/ranuras cuyo
propio nivel de notificación tenga el sonido activado (consulta el icono de
altavoz en cada fila de abajo).","将wav文件放入插件sounds文件夹，在此选择预览。仅支持wav格式。
“测试”会立即播放；真实弹窗通知也会自动播放音频，
但仅针对通知等级开启音效的事件/时段，参见下方每行的喇叭图标。",
WE_OPTWIN_HDR_CHAT,Chat and paste,Chat und Einfügen,Chat et collage,Chat y pegado,聊天与粘贴,
WE_TIP_UNLOCK_PASTE_DELAY,"Only change this if you're having paste issues.
Controls the internal delay used to paste text into the
chat box. Default: 20ms.","Nur ändern, wenn es beim Einfügen Probleme gibt.
Steuert die interne Verzögerung beim Einfügen von Text
ins Chatfeld. Standard: 20ms.","Ne modifiez ceci que si vous avez des problèmes de collage.
Contrôle le délai interne utilisé pour coller du texte dans la
zone de chat. Par défaut : 20 ms.","Cambia esto solo si tienes problemas al pegar.
Controla el retraso interno usado para pegar texto en el
cuadro de chat. Predeterminado: 20 ms.",仅在粘贴出现异常时修改。控制向聊天框粘贴文本的内部延迟，默认20毫秒。,
WE_OPT_PASTE_DELAY,Paste Delay,Einfügeverzögerung,Délai de collage,Retraso de pegado,粘贴延迟,
WE_OPT_PASTE_TO,Paste to,Einfügen in,Coller dans,Pegar en,粘贴至,
WE_TIP_PASTE_TO,"Which chat channel a watchlist row/segment/toast click
pastes into, regardless of whatever channel is currently
selected in-game. Prepends that channel's slash command
(e.g. ""/p "") before the name/waypoint. ""Current chat""
pastes exactly as before, into whichever channel already
has focus.

When Better Chat's ""/self"" is enabled, it's available here too.","In welchen Chat-Kanal ein Klick auf eine Zeile, Segment oder
Popup einfügt, unabhängig vom aktuell im Spiel gewählten
Kanal. Stellt den Slash-Befehl des Kanals voran (z.B. ""/p "")
vor Name/Wegpunkt. ""Aktueller Chat"" fügt wie gewohnt in den
gerade fokussierten Kanal ein.
Wenn Better Chats ""/self"" aktiviert ist, steht es auch hier
zur Verfügung.","Dans quel canal de chat un clic sur une ligne/segment/notification de la
liste colle le texte, quel que soit le canal actuellement sélectionné en jeu.
Ajoute la commande slash de ce canal (ex. ""/p "") avant le nom/point de
passage. ""Chat actuel"" colle exactement comme avant, dans le canal ayant
actuellement le focus.

Lorsque le ""/self"" de Better Chat est activé, il est aussi disponible ici.","En qué canal de chat pega un clic en una fila/segmento/notificación de la
lista, sin importar el canal seleccionado actualmente en el juego.
Antepone el comando de barra de ese canal (p. ej. ""/p "") antes del
nombre/punto de acceso. ""Chat actual"" pega exactamente como antes, en
el canal que tenga el foco en ese momento.

Cuando el ""/self"" de Better Chat está activado, también está disponible aquí.","点击订阅条目/片段/弹窗时，文本粘贴到哪个聊天频道，无视游戏当前选中频道。
会自动前置对应频道斜杠指令，例如/p。“当前聊天”维持原有行为，
粘贴至当前焦点频道。若Better Chat开启/self，该频道也会出现在此列表。",
WE_OPT_BETTER_CHAT_NOT_LOADED,Better Chat not loaded (optional),Better Chat nicht geladen (optional),Better Chat non chargé (facultatif),Better Chat no cargado (opcional),未加载Better Chat（可选组件）,
WE_OPT_BETTER_CHAT_SELF_DISABLED,"Better Chat loaded, /self disabled","Better Chat geladen, /self deaktiviert","Better Chat chargé, /self désactivé","Better Chat cargado, /self desactivado",已加载Better Chat，/self未启用,
WE_OPT_BETTER_CHAT_SELF_ENABLED,"Better Chat loaded, /self enabled","Better Chat geladen, /self aktiviert","Better Chat chargé, /self activé","Better Chat cargado, /self activado",已加载Better Chat，/self已启用,
WE_OPTWIN_HDR_ACCOUNT,Account and tracking,Konto und Nachverfolgung,Compte et suivi,Cuenta y rastreo,账号与追踪,
WE_OPT_GW2_API_KEY,GW2 API key,GW2-API-Schlüssel,Clé API GW2,Clave de API de GW2,GW2 API密钥,
WE_OPT_API_KEY_DELAY_NOTE,Can take up to 5min to take effect.,"Kann bis zu 5 Min. dauern, bis Änderungen sichtbar sind.",Peut prendre jusqu'à 5 min pour prendre effet.,Puede tardar hasta 5 min en surtir efecto.,生效最多需要等待5分钟。,
WE_TIP_GW2_API_KEY,"Needs the ""progression"" permission. When set, a subscribed
Core Boss (Admiral Taidha Covington, Tequatl, etc.) is
automatically left off the watchlist window and bar once
your account has already killed it since the last daily
reset. The same applies to any subscribed slot in Verdant
Brink, Auric Basin, Tangled Depths, Dragon's Stand, Crystal
Oasis, Elon Riverlands, The Desolation, or Domain of Vabbi,
once that map's Hero's Choice Chest has already been
claimed today (the whole ring hides together, not just the
one slot). Nothing else is affected: the public API has no
""already done today"" signal for any other event type in
this addon (other map metas, invasions, LLA, convergences),
so those are never hidden by this.","Benötigt die Berechtigung ""progression"". Wenn gesetzt, wird
ein abonnierter Core Boss (Admiral Taidha Covington, Tequatl
usw.) automatisch aus Abo-Fenster und -Leiste entfernt, sobald
dein Account ihn seit dem letzten täglichen Reset schon
besiegt hat. Gleiches gilt für jeden abonnierten Slot in
Grasgrüne Schwelle, Güldener Talkessel, Verschlungene Tiefen,
Widerstand des Drachen, Kristalloase, Elon-Flusslande, Das
Ödland oder Domäne Vaabi, sobald die tägliche Belohnungstruhe
dieser Karte heute schon errungen wurde (der ganze Zyklus wird
als Gesamtes ausgeblendet, nicht nur der eine Slot). Sonst
ändert sich nichts: Die öffentliche API hat für keinen anderen
Event-Typ in diesem Addon (andere Karten-Metas, Invasionen,
LLA, Konvergenzen) ein ""heute schon erledigt""-Signal, daher
wird dort nie etwas dadurch ausgeblendet.","Nécessite la permission ""progression"". Une fois définie, un Boss du jeu de
base abonné (Amiral Taidha Covington, Tequatl, etc.) est automatiquement
retiré de la fenêtre et de la barre d'abonnements dès que votre compte l'a
déjà vaincu depuis la dernière réinitialisation quotidienne. Il en va de même
pour tout créneau abonné dans l'Orée d'émeraude, le Bassin aurique,
les Profondeurs verdoyantes, le Repli du dragon, l'Oasis de cristal, les
Rives de l'Elon, la Désolation ou le Domaine de Vabbi, dès que le
Coffre du choix du héros de cette carte a déjà été récupéré aujourd'hui
(l'anneau entier se masque ensemble, pas seulement ce créneau). Rien
d'autre n'est affecté : l'API publique n'a aucun signal ""déjà fait aujourd'hui""
pour tout autre type d'événement de cet addon (autres métas de carte,
invasions, LLA, convergences), donc ceux-ci ne sont jamais masqués par ceci.","Requiere el permiso ""progression"". Una vez configurada, un Jefe del juego
base suscrito (Almirante Taidha Covington, Tequatl, etc.) se elimina
automáticamente de la ventana y la barra de suscripciones en cuanto tu
cuenta ya lo haya derrotado desde el último reinicio diario. Lo mismo se
aplica a cualquier ranura suscrita en Umbral Verdeante, Valle Áurico,
Profundidades Enredadas, Defensa del Dragón, Oasis de Cristal,
La Ribera del Elon, La Desolación o Dominio de Vabbi, en cuanto el
Cofre de Elección del Héroe de ese mapa ya se haya reclamado hoy (todo
el anillo se oculta en conjunto, no solo esa ranura). No se ve afectado nada
más: la API pública no tiene una señal de ""ya hecho hoy"" para ningún otro
tipo de evento de este addon (otras metas de mapa, invasiones, LLA,
convergencias), por lo que estos nunca se ocultan por esto.","需要启用 “进度追踪” 权限。启用后，若账号在每日重置后已击杀所订阅的核心世界首领（上将泰达·科文顿、吞噬托），
该首领便会自动从监控列表窗口和状态栏中隐藏。苍翠边界、赤金盆地、缠藤深渊、巨龙阵地、水晶绿洲、伊伦河湾、
荒芜之地及瓦比领域中的任一订阅条目，只要当日已领取该地图的英雄抉择宝箱，整个事件圆环将一并隐藏，而非仅隐藏单个条目。
其余内容不受影响：公开 API 无法提供其他事件类型（其他地图元事件、入侵、LLA、汇聚）的「今日已完成」状态，
因此这些事件永远不会被本规则隐藏。","REVIEW: ""progression"" seems to be the same for all languages"
WE_OPT_API_NO_KEY,No key set,Kein API-Schlüssel gesetzt,Aucune clé définie,No hay clave configurada,未设置密钥,
WE_OPT_API_CHECKING,Checking...,Wird geprüft...,Vérification...,Comprobando...,正在校验…,
WE_OPT_API_CONNECTED,Connected,Verbunden,Connecté,Conectado,连接成功,
WE_OPT_API_INVALID_KEY,Invalid key / missing permission,Ungültiger Schlüssel / fehlende Berechtigung,Clé invalide / permission manquante,Clave no válida / falta permiso,密钥无效 / 缺少权限,
WE_OPT_API_NETWORK_ERROR,"Network error, retrying","Netzwerkfehler, erneuter Versuch","Erreur réseau, nouvelle tentative","Error de red, reintentando",网络错误，正在重试,
WE_OPT_AUTO_MARK_API_DONE,Automatically mark API-confirmed events done,API-bestätigte Events automatisch als erledigt markieren,Marquer automatiquement les événements confirmés par l'API comme faits,Marcar automáticamente como hechos los eventos confirmados por la API,API确认事件自动标记为已完成,
